"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.989475930E-1,3.495483398E-1,8.245635986E0,2.217025757E0,8.545636317E0
5.039524760E-1,3.639221191E-1,8.293518066E0,2.264907837E0,8.604922355E0
5.089878770E-1,4.261627197E-1,8.365341187E0,2.303222656E0,8.687081353E0
5.140232770E-1,4.357452393E-1,8.422805786E0,2.317581177E0,8.746697304E0
5.190586770E-1,3.639221191E-1,8.508987427E0,2.351104736E0,8.835326809E0
5.240635600E-1,3.639221191E-1,8.595184326E0,2.379837036E0,8.925987745E0
5.290989610E-1,2.920989990E-1,8.667007446E0,2.432510376E0,9.006633479E0
5.341343610E-1,2.489929199E-1,8.743621826E0,2.499542236E0,9.097287041E0
5.391392440E-1,1.771697998E-1,8.791503906E0,2.566589355E0,9.160202563E0
5.441746440E-1,1.197052002E-1,8.844177246E0,2.609680176E0,9.221942914E0
5.492100450E-1,1.005554199E-1,8.872909546E0,2.681503296E0,9.269794773E0
5.542454450E-1,8.619689941E-2,8.892059326E0,2.695877075E0,9.292141958E0
5.592503280E-1,5.746459961E-2,8.882492065E0,2.715026855E0,9.288344217E0
5.642857280E-1,2.873229980E-2,8.872909546E0,2.748550415E0,9.288911601E0
5.693211290E-1,4.791259766E-3,8.863342285E0,2.801208496E0,9.295462789E0
5.743260110E-1,1.435852051E-2,8.848968506E0,2.877838135E0,9.305181466E0
5.793614120E-1,-3.831481934E-2,8.839385986E0,2.997543335E0,9.333888723E0
5.843968120E-1,-7.182312012E-2,8.810668945E0,3.150772095E0,9.357371993E0
5.894322130E-1,-7.661437988E-2,8.796295166E0,3.294418335E0,9.393288592E0
5.944370950E-1,-4.309082031E-2,8.815444946E0,3.428497314E0,9.458780062E0
5.994724960E-1,-2.394104004E-2,8.848968506E0,3.572143555E0,9.542799713E0
6.045078960E-1,-3.352355957E-2,8.935165405E0,3.691864014E0,9.667893491E0
6.095432970E-1,4.309082031E-2,9.088394165E0,3.825927734E0,9.860957780E0
6.145481790E-1,1.340789795E-1,9.323028564E0,3.969589233E0,1.013382837E1
6.195835800E-1,2.729339600E-1,9.648635864E0,4.074935913E0,1.047739327E1
6.246189800E-1,4.692687988E-1,1.002212524E1,4.180282593E0,1.086912923E1
6.296238630E-1,7.326202393E-1,1.051054382E1,4.299987793E0,1.137972578E1
6.346592630E-1,1.053451538E0,1.105163574E1,4.390960693E0,1.193854885E1
6.396946640E-1,1.355117798E0,1.156399536E1,4.453216553E0,1.246569174E1
6.447300640E-1,1.613693237E0,1.204283142E1,4.462799072E0,1.294412492E1
6.497349470E-1,1.733398438E0,1.238760376E1,4.323928833E0,1.323456677E1
6.547703470E-1,1.814804077E0,1.262223816E1,4.036621094E0,1.337567643E1
6.598057480E-1,1.896209717E0,1.278024292E1,3.653549194E0,1.342678823E1
6.648106310E-1,2.078170776E0,1.285685730E1,3.246536255E0,1.342227891E1
6.698460310E-1,2.250549316E0,1.291911316E1,2.858673096E0,1.342164181E1
