BioWare 3.0 Export
Device:	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA
Samples (#):	6533	6533	6533	6533
Rate (Hz):	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	6532	6532	6532	6532
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	32.660000	32.660000	32.660000	32.660000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	692.799622	692.799622	692.799622	692.799622
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft
	N	N	N	N
0.435000	-0.885957	1.404805	581.557732	581.560103
0.440000	-1.547094	0.979507	578.476997	578.479895
0.445000	-1.624928	0.825040	578.050522	578.053395
0.450000	-1.585862	0.902480	577.710030	577.712911
0.455000	-1.741529	0.824628	576.513081	576.516301
0.460000	-2.052565	0.786114	576.086765	576.090958
0.465000	-1.975029	0.708262	575.061172	575.065000
0.470000	-2.130101	0.630410	574.805717	574.810010
0.475000	-1.936262	0.398504	575.318203	575.321599
0.480000	-1.935666	0.630410	575.835045	575.838643
0.485000	-2.014393	0.476356	576.176277	576.179995
0.490000	-2.363899	0.359990	574.979614	574.984586
0.495000	-2.363899	0.320652	575.492500	575.497445
0.500000	-2.207636	0.786114	577.546562	577.551316
0.505000	-2.441732	0.360403	574.809654	574.814953
0.510000	-2.363601	0.128498	575.750763	575.755629
0.515000	-1.859024	0.631648	577.720810	577.724146
0.520000	-2.285768	0.476356	577.807213	577.811930
0.525000	-2.520161	0.166598	575.581902	575.587443
0.530000	-2.052565	0.515695	578.150208	578.154081
0.535000	-2.636167	-0.103821	575.070572	575.076623
0.540000	-2.636465	0.051058	575.156715	575.162760
0.545000	-2.558631	0.089984	575.585648	575.591341
0.550000	-2.520161	0.244450	576.613060	576.618619
0.555000	-2.402667	0.593547	578.582420	578.587714
0.560000	-2.597399	0.168249	576.529129	576.535004
0.565000	-2.908137	0.128498	575.845741	575.853099
0.570000	-2.636167	0.516520	576.616119	576.622377
0.575000	-3.064400	0.051883	575.589470	575.597630
0.580000	-2.597399	0.516108	577.730904	577.736973
0.585000	-2.597399	0.593960	578.585533	578.591668
0.590000	-3.103465	0.246101	577.217392	577.225787
0.595000	-2.830602	0.594373	578.330406	578.337639
0.600000	-3.141935	0.362054	577.645294	577.653952
0.605000	-3.258536	0.129735	576.364189	576.373415
0.610000	-2.675530	0.711150	579.188286	579.194902
0.615000	-3.181001	0.246513	576.278854	576.287686
0.620000	-2.869667	0.362879	577.563972	577.571215
0.625000	-2.674042	0.827103	578.505409	578.512181
0.630000	-2.869072	0.788177	578.848206	578.855852
0.635000	-3.336072	0.169899	576.109909	576.119593
0.640000	-2.985673	0.440319	576.538979	576.546877
0.645000	-2.557738	0.634536	579.534737	579.540728
0.650000	-2.635274	0.750077	578.679314	578.685800
0.655000	-2.518672	0.711563	578.338333	578.344255
0.660000	-2.595315	0.749664	578.850334	578.856638
0.665000	-3.607745	-0.062006	575.085899	575.097219
0.670000	-2.790345	0.557096	577.396309	577.403320
0.675000	-2.713107	0.324779	576.626076	576.632550
0.680000	-3.023845	-0.062006	576.112457	576.120396
0.685000	-2.828815	0.209238	577.138802	577.145772
0.690000	-2.400880	0.828341	579.363098	579.368665
0.695000	-3.178917	0.092460	576.881531	576.890297
0.700000	-2.712214	0.596436	578.506805	578.513471
0.705000	-2.828815	0.518996	578.420563	578.427713
0.710000	-2.595315	0.403456	578.934906	578.940864
0.715000	-2.167082	0.790241	580.646049	580.650631
0.720000	-2.634083	0.403456	578.592674	578.598811
0.725000	-2.555058	0.597261	579.875916	579.881852
0.730000	-2.906053	0.132211	577.821434	577.828757
0.735000	-2.439052	0.287503	577.909081	577.914299
0.740000	-2.439350	0.247752	577.308907	577.314113
0.745000	-2.750386	0.092873	576.368294	576.374864
0.750000	-2.478118	0.363705	577.738510	577.743939
