"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.095532810E0,-2.169143677E0,9.720458984E0,3.208236694E0,1.046352187E1
1.100568211E0,-2.475601196E0,9.849746704E0,2.552215576E0,1.047186305E1
1.105573094E0,-3.069366455E0,9.935943604E0,1.910568237E0,1.057328032E1
1.110608494E0,-3.773254395E0,1.001733398E1,1.283294678E0,1.078106090E1
1.115643894E0,-4.386184692E0,1.008438110E1,6.607971191E-1,1.101680585E1
1.120679295E0,-4.869812012E0,1.014662170E1,2.873229980E-2,1.125476906E1
1.125684178E0,-5.209777832E0,1.016578674E1,-6.368560791E-1,1.144074258E1
1.130719578E0,-5.410888672E0,1.012268066E1,-1.335968018E0,1.155556968E1
1.135754978E0,-5.396530151E0,1.000776672E1,-1.920150757E0,1.153104121E1
1.140790379E0,-5.195419312E0,9.840164185E0,-2.317581177E0,1.136628328E1
1.145795262E0,-4.817138672E0,9.639053345E0,-2.470809937E0,1.105536413E1
1.150830662E0,-4.357452393E0,9.332595825E0,-2.456451416E0,1.058862077E1
1.155866062E0,-3.763687134E0,9.021347046E0,-2.221817017E0,1.002429620E1
1.160901463E0,-3.074157715E0,8.671798706E0,-1.738189697E0,9.363324296E0
1.165906346E0,-2.528274536E0,8.283935547E0,-1.297653198E0,8.757834441E0
1.170941746E0,-1.910568237E0,7.929595947E0,-8.044586182E-1,8.196091541E0
1.175977146E0,-1.201889038E0,7.594406128E0,-2.489929199E-1,7.692953865E0
1.181012547E0,-6.464385986E-1,7.297531128E0,2.346343994E-1,7.329863350E0
1.186017429E0,-2.537841797E-1,7.058105469E0,7.565612793E-1,7.103072869E0
1.191052830E0,1.388702393E-1,6.866577148E0,1.192306519E0,6.970707390E0
1.196088230E0,3.303985596E-1,6.718124390E0,1.508346558E0,6.893291511E0
1.201123631E0,5.602416992E-1,6.631942749E0,1.790863037E0,6.892294669E0
1.206128513E0,7.374114990E-1,6.631942749E0,2.054229736E0,6.981855065E0
1.211163914E0,8.236083984E-1,6.655883789E0,2.212249756E0,7.062093796E0
1.216199314E0,1.000778198E0,6.742065430E0,2.279281616E0,7.186941488E0
1.221204197E0,1.034301758E0,6.876144409E0,2.293640137E0,7.322016603E0
1.226239597E0,1.106124878E0,7.015014648E0,2.341522217E0,7.477744918E0
1.231274998E0,1.201889038E0,7.173034668E0,2.317581177E0,7.633357460E0
1.236310398E0,1.264144897E0,7.331039429E0,2.284072876E0,7.781978561E0
1.241315281E0,1.374267578E0,7.484268188E0,2.178726196E0,7.915158213E0
1.246350681E0,1.608901978E0,7.656661987E0,2.011123657E0,8.078221136E0
1.251386082E0,1.786071777E0,7.762008667E0,1.901000977E0,8.188567375E0
1.256421482E0,1.929733276E0,7.819458008E0,1.838745117E0,8.261281841E0
1.261426365E0,2.082962036E0,7.876922607E0,1.771713257E0,8.338081822E0
1.266461765E0,2.188293457E0,7.886505127E0,1.738189697E0,8.367012298E0
1.271497166E0,2.231399536E0,7.900863647E0,1.671157837E0,8.378278987E0
1.276532566E0,2.149993896E0,7.876922607E0,1.623275757E0,8.324866828E0
1.281537449E0,1.867477417E0,7.824249268E0,1.613693237E0,8.204288779E0
1.286572849E0,1.493988037E0,7.838623047E0,1.594543457E0,8.137479976E0
1.291608250E0,1.240203857E0,7.886505127E0,1.561019897E0,8.134608279E0
1.296643650E0,1.091751099E0,7.920013428E0,1.570602417E0,8.147719013E0
1.301648533E0,9.528961182E-1,7.972686768E0,1.594543457E0,8.186227101E0
1.306683933E0,7.805023193E-1,8.006210327E0,1.661575317E0,8.213977125E0
1.311719334E0,6.320648193E-1,8.054092407E0,1.728607178E0,8.261718539E0
1.316754734E0,5.075683594E-1,8.111557007E0,1.790863037E0,8.322389869E0
1.321759617E0,3.878631592E-1,8.202529907E0,1.867477417E0,8.421366078E0
1.326795017E0,2.537841797E-1,8.322250366E0,1.953674316E0,8.552257065E0
1.331830418E0,1.580200195E-1,8.489837646E0,2.006347656E0,8.725121461E0
1.336865818E0,1.053466797E-1,8.676589966E0,2.044647217E0,8.914869242E0
1.341870701E0,1.340789795E-1,8.973464966E0,2.097320557E0,9.216279303E0
1.346906101E0,1.101379395E-1,9.284713745E0,2.092529297E0,9.518230852E0
1.351941502E0,8.619689941E-2,9.653427124E0,2.121261597E0,9.884120391E0
1.356976902E0,7.661437988E-2,1.005564880E1,2.130844116E0,1.027922367E1
1.361981785E0,5.267333984E-2,1.050097656E1,2.159576416E0,1.072087000E1
1.367017185E0,4.791259766E-3,1.092713928E1,2.164352417E0,1.113942625E1
1.372052586E0,-6.225585938E-2,1.130541992E1,2.240966797E0,1.152555108E1
1.377087986E0,-7.182312012E-2,1.167890930E1,2.331954956E0,1.190966393E1
1.382092869E0,-2.394104004E-2,1.196142578E1,2.461242676E0,1.221204305E1
1.387128269E0,6.225585938E-2,1.217691040E1,2.624038696E0,1.245658869E1
1.392163670E0,2.298431396E-1,1.233493042E1,2.873046875E0,1.266719127E1
1.397199070E0,4.692687988E-1,1.245942688E1,3.145980835E0,1.285903289E1
1.402203953E0,7.517852783E-1,1.252645874E1,3.471588135E0,1.302034077E1
1.407239353E0,9.911956787E-1,1.253604126E1,3.821151733E0,1.314290683E1
1.412274754E0,1.206680298E0,1.255039978E1,4.127609253E0,1.326671663E1
1.417310154E0,1.326385498E0,1.255998230E1,4.376602173E0,1.336664133E1
1.422315037E0,1.273712158E0,1.255039978E1,4.510681152E0,1.339705646E1
1.427350437E0,1.115692139E0,1.264617920E1,4.419692993E0,1.344263008E1
1.432385838E0,7.852935791E-1,1.285685730E1,4.213790894E0,1.355254586E1
1.437421238E0,3.974304199E-1,1.317768860E1,4.027053833E0,1.378501325E1
1.442426121E0,6.225585938E-2,1.357511902E1,3.907333374E0,1.412639325E1
1.447461521E0,-2.442016602E-1,1.393424988E1,3.988739014E0,1.449596472E1
1.452496922E0,-5.171508789E-1,1.420240784E1,4.314346313E0,1.485225294E1
1.457501804E0,-7.805023193E-1,1.430775452E1,4.525039673E0,1.502654342E1
1.462537205E0,-9.050140381E-1,1.421676636E1,3.998321533E0,1.479601538E1
1.467572605E0,-9.672546387E-1,1.387680054E1,2.470809937E0,1.412820146E1
1.472608006E0,-7.709350586E-1,1.347456360E1,2.968750000E-1,1.349986444E1
1.477612888E0,-3.687133789E-1,1.316810608E1,-1.757339478E0,1.328996649E1
1.482648289E0,4.309082031E-2,1.286164856E1,-3.438079834E0,1.331331114E1
1.487683689E0,4.213867188E-1,1.249295044E1,-4.754882812E0,1.337386586E1
1.492719090E0,7.805023193E-1,1.200932312E1,-5.865798950E0,1.338807764E1
1.497723972E0,1.010360718E0,1.142512512E1,-6.876144409E0,1.337294563E1
1.502759373E0,1.134857178E0,1.086967468E1,-7.699752808E0,1.336876665E1
1.507794773E0,1.034301758E0,1.040519714E1,-8.058883667E0,1.320164814E1
1.512830174E0,8.140258789E-1,1.004606628E1,-7.967910767E0,1.284810056E1
1.517835056E0,5.123596191E-1,9.744400024E0,-7.594406128E0,1.236490391E1
1.522870457E0,7.661437988E-2,9.452316284E0,-6.895294189E0,1.170030918E1
1.527905857E0,-3.782806396E-1,9.208099365E0,-5.937622070E0,1.096300807E1
1.532941258E0,-6.703796387E-1,9.145843506E0,-4.802764893E0,1.035192798E1
1.537946140E0,-9.433135986E-1,9.260772705E0,-3.643981934E0,9.996517192E0
1.542981541E0,-1.182739258E0,9.504974365E0,-2.442092896E0,9.884696634E0
1.548016941E0,-1.345535278E0,9.859329224E0,-1.240203857E0,1.002770879E1
1.553052342E0,-1.321594238E0,1.034774780E1,-1.436462402E-1,1.043279110E1
1.558057224E0,-1.163589478E0,1.085052490E1,7.948760986E-1,1.094164792E1
1.563092625E0,-9.672546387E-1,1.127668762E1,1.465255737E0,1.141254746E1
1.568128025E0,-7.086791992E-1,1.157357788E1,1.968032837E0,1.176108347E1
1.573163426E0,-3.591308594E-1,1.172680664E1,2.317581177E0,1.195901967E1
1.578168308E0,4.791259766E-3,1.172680664E1,2.475601196E0,1.198526671E1
1.583203709E0,4.453277588E-1,1.157835388E1,2.446868896E0,1.184245595E1
1.588239109E0,7.900848389E-1,1.131979370E1,2.202667236E0,1.155913952E1
1.593274510E0,1.115692139E0,1.109472656E1,1.805221558E0,1.129586435E1
1.598279392E0,1.326385498E0,1.081700134E1,1.398208618E0,1.098734745E1
1.603314793E0,1.460464478E0,1.055842590E1,9.576873779E-1,1.070189138E1
1.608350193E0,1.541870117E0,1.026155090E1,4.740447998E-1,1.038756511E1
1.613385594E0,1.580169678E0,9.964660645E0,-1.435852051E-2,1.008918253E1
1.618390476E0,1.623275757E0,9.672576904E0,-4.309539795E-1,9.817305612E0
1.623425877E0,1.728607178E0,9.409210205E0,-7.038879395E-1,9.592537604E0
1.628461277E0,1.881835938E0,9.179367065E0,-7.374114990E-1,9.399247945E0
1.633496678E0,2.068588257E0,8.987838745E0,-6.560058594E-1,9.246115204E0
1.638501560E0,2.346313477E0,8.791503906E0,-5.219421387E-1,9.114173109E0
1.643536961E0,2.638412476E0,8.571243286E0,-4.309539795E-1,8.978482789E0
1.648572361E0,2.944869995E0,8.370132446E0,-3.591308594E-1,8.880335097E0
1.653607762E0,3.193862915E0,8.183380127E0,-2.968750000E-1,8.789573675E0
1.658612644E0,3.361465454E0,8.030151367E0,-1.867523193E-1,8.707333542E0
1.663648045E0,3.466796875E0,7.881713867E0,-4.791259766E-3,8.610465551E0
1.668683445E0,3.562576294E0,7.781158447E0,9.097290039E-2,8.558425831E0
