"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.877350090E-1,2.273181528E-1,9.657432556E0,-1.040877819E0,9.716023042E0
4.902680820E-1,1.914258152E-1,9.645467758E0,-1.055234790E0,9.704906624E0
4.928003220E-1,1.507478207E-1,9.645467758E0,-1.069591761E0,9.705761161E0
4.953326130E-1,9.810572863E-2,9.667003632E0,-1.100698471E0,9.729959973E0
4.978657380E-1,5.024927482E-2,9.686145782E0,-1.124626637E0,9.751345045E0
5.003988110E-1,2.392822690E-2,9.683753014E0,-1.141376376E0,9.750814582E0
5.029310510E-1,7.178467698E-3,9.698110580E0,-1.131805062E0,9.763932766E0
5.054632900E-1,-9.571290575E-3,9.707681656E0,-1.105484009E0,9.770428324E0
5.079964150E-1,-1.196411345E-2,9.695717812E0,-1.086341500E0,9.756394051E0
5.105294880E-1,-9.571290575E-3,9.688538551E0,-1.064806104E0,9.746880676E0
5.130617280E-1,-1.435693540E-2,9.683753014E0,-1.048056364E0,9.740313172E0
5.155939670E-1,-1.914258115E-2,9.686145782E0,-1.040877819E0,9.741930671E0
5.181270920E-1,-2.871387079E-2,9.678967476E0,-1.043270707E0,9.735073171E0
5.206601650E-1,-4.546362907E-2,9.676574707E0,-1.064806104E0,9.735089986E0
5.231924050E-1,-5.264209956E-2,9.686145782E0,-1.076770186E0,9.745954306E0
5.257246440E-1,-4.307080805E-2,9.681360245E0,-1.076770186E0,9.741151129E0
5.282577690E-1,-1.914258115E-2,9.688538551E0,-1.076770186E0,9.748209053E0
5.307908940E-1,7.178467698E-3,9.693324089E0,-1.079162955E0,9.753213630E0
5.333230820E-1,1.674975827E-2,9.690931320E0,-1.086341500E0,9.751644388E0
5.358553740E-1,1.435693540E-2,9.700503349E0,-1.091127157E0,9.761686833E0
5.383884990E-1,2.871387079E-2,9.700503349E0,-1.127019525E0,9.765795550E0
5.409215720E-1,4.307080805E-2,9.707681656E0,-1.165304661E0,9.777467626E0
5.434538110E-1,4.307080805E-2,9.717252731E0,-1.196411371E0,9.790722951E0
5.459860510E-1,5.264209956E-2,9.719645500E0,-1.251446247E0,9.800020283E0
5.485191760E-1,6.939185411E-2,9.738788605E0,-1.308874011E0,9.826595031E0
5.510522490E-1,7.657032460E-2,9.745966911E0,-1.349551916E0,9.839259343E0
5.535844880E-1,6.460621208E-2,9.731609344E0,-1.397408366E0,9.831639972E0
5.561167280E-1,3.589234129E-2,9.722038269E0,-1.442872047E0,9.828590749E0
5.586498530E-1,4.785645287E-3,9.714859962E0,-1.476371527E0,9.826403201E0
5.611829780E-1,-3.828516230E-2,9.705288887E0,-1.497906923E0,9.820276131E0
5.637151650E-1,-7.417750359E-2,9.690931320E0,-1.500299811E0,9.806658538E0
5.662474570E-1,-9.810572863E-2,9.683753014E0,-1.483550072E0,9.797225014E0
5.687805820E-1,-1.268195957E-1,9.676574707E0,-1.442872047E0,9.784378417E0
5.713136550E-1,-1.555334777E-1,9.669396400E0,-1.397408366E0,9.771088351E0
5.738458940E-1,-1.818545163E-1,9.669396400E0,-1.354337573E0,9.765476336E0
5.763781340E-1,-1.986042857E-1,9.671789169E0,-1.299302697E0,9.760693464E0
5.789112590E-1,-1.890329868E-1,9.664610863E0,-1.251446247E0,9.747130568E0
5.814443320E-1,-1.890329868E-1,9.667003632E0,-1.217946768E0,9.745259720E0
5.839765720E-1,-1.962114573E-1,9.674181938E0,-1.210768223E0,9.751628315E0
5.865088110E-1,-1.962114573E-1,9.669396400E0,-1.249053478E0,9.751710633E0
