"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.028992603E0,3.471592367E-1,9.825803757E0,8.140285611E-1
3.045014101E0,4.740519226E-1,9.832986832E0,8.020575643E-1
3.061035601E0,5.386953950E-1,9.835380554E0,6.943184733E-1
3.077087617E0,6.224924326E-1,9.832986832E0,6.536170840E-1
3.093109115E0,6.631938815E-1,9.935936928E0,7.398083210E-1
3.109130615E0,6.584054828E-1,9.866505623E0,7.350199223E-1
3.125152114E0,5.458779931E-1,9.756371498E0,7.661445141E-1
3.141204131E0,3.711012602E-1,9.720458984E0,8.978256583E-1
3.157225629E0,1.628057212E-1,9.758766174E0,9.672574997E-1
3.173247129E0,-1.197100878E-1,9.873687744E0,9.528923035E-1
3.189268627E0,-3.615244627E-1,9.945513725E0,9.193734527E-1
3.205320644E0,-6.129156351E-1,9.902418137E0,9.959878922E-1
3.221342143E0,-7.326257229E-1,9.821015358E0,1.055842996E0
3.237363642E0,-5.506663918E-1,9.832986832E0,1.115697980E0
3.253385141E0,-7.445967197E-1,9.904812813E0,1.192312479E0
3.269406640E0,-7.134721279E-1,9.689333916E0,1.240196466E0
3.285428139E0,-3.974374831E-1,9.710882187E0,1.115697980E0
3.301480155E0,-3.423708379E-1,9.797073364E0,1.144428372E0
3.317501654E0,-9.337386489E-2,9.816226959E0,1.086967587E0
3.333523154E0,8.140286058E-2,9.866505623E0,1.005564690E0
3.349575170E0,1.651999205E-1,9.821015358E0,9.050082564E-1
3.365596669E0,3.112462163E-1,9.871294022E0,8.092401624E-1
3.381618168E0,3.974374831E-1,9.895236015E0,8.164227605E-1
3.397639667E0,4.381389022E-1,9.890447617E0,8.523358107E-1
3.413691684E0,4.764461517E-1,9.856928825E0,8.547300100E-1
3.429713182E0,4.333505034E-1,9.840168953E0,8.499416113E-1
3.445734682E0,3.830722570E-1,9.792284966E0,8.451532125E-1
3.461756180E0,3.830722570E-1,9.825803757E0,8.738836050E-1
3.477808196E0,3.447650373E-1,9.873687744E0,8.451532125E-1
3.493829696E0,2.992752194E-1,9.876082420E0,8.188169599E-1
3.509851195E0,2.609679997E-1,9.849745750E0,8.116343617E-1
3.525872694E0,1.699883193E-1,9.823410034E0,8.499416113E-1
3.541894193E0,3.591302410E-2,9.794678688E0,9.050082564E-1
3.557915692E0,4.070143029E-2,9.789890289E0,9.552865028E-1
3.573967708E0,3.351882473E-2,9.804255486E0,9.911994934E-1
3.589989207E0,4.070143029E-2,9.811438560E0,9.911994934E-1
3.606010706E0,-2.394201607E-2,9.780313492E0,9.816226959E-1
3.622032206E0,-2.394201700E-3,9.818621635E0,1.029506683E0
3.638053705E0,3.112462163E-2,9.907206535E0,1.063025594E0
3.654075204E0,3.591302410E-2,9.950302124E0,1.079784989E0
3.670127220E0,1.005564705E-1,9.895236015E0,9.911994934E-1
3.686148719E0,1.316810995E-1,9.828198433E0,9.648633003E-1
3.702170218E0,1.053448766E-1,9.753977776E0,9.959878922E-1
3.718191717E0,7.900865376E-2,9.746794701E0,1.012747288E0
3.734213217E0,1.005564705E-1,9.775525093E0,1.029506683E0
3.750234715E0,5.746084079E-2,9.782708168E0,1.010353088E0
3.766256215E0,5.506663769E-2,9.840168953E0,9.696516991E-1
3.782308231E0,1.125274822E-1,9.840168953E0,9.504981041E-1
3.798329729E0,1.292868853E-1,9.878476143E0,9.409212470E-1
3.814351229E0,1.771709323E-1,9.921571732E0,9.696516991E-1
3.830372728E0,2.274491638E-1,9.900024414E0,9.744400978E-1
3.846394227E0,3.327940404E-1,9.856928825E0,9.121908545E-1
3.862415726E0,4.070142806E-1,9.864110947E0,8.547300100E-1
3.878467742E0,4.213795066E-1,9.866505623E0,8.379706144E-1
3.894489241E0,3.926490843E-1,9.852140427E0,8.643068075E-1
3.910510741E0,3.519476354E-1,9.849745750E0,9.074024558E-1
3.926532239E0,3.998316824E-1,9.825803757E0,9.193734527E-1
3.942553739E0,5.051765442E-1,9.854534149E0,8.595184088E-1
3.958575238E0,5.506663918E-1,9.928754807E0,8.283938169E-1
3.974596737E0,5.315127969E-1,9.923966408E0,8.259995580E-1
3.990618236E0,4.692635238E-1,9.842563629E0,8.690952063E-1
4.006670252E0,4.070142806E-1,9.746794701E0,9.050082564E-1
4.022691751E0,3.136404157E-1,9.756371498E0,1.003170490E0
4.038713250E0,2.537853718E-1,9.794678688E0,9.792284966E-1
4.054734750E0,2.537853718E-1,9.902418137E0,9.433154464E-1
4.070756248E0,2.561795712E-1,9.914389610E0,9.600749016E-1
4.086808264E0,2.322375625E-1,9.842563629E0,9.145850539E-1
4.102829764E0,1.675941199E-1,9.701305389E0,9.385270476E-1
4.118851262E0,9.576806426E-2,9.698910713E0,1.043871999E0
4.134903278E0,7.182604820E-2,9.811438560E0,1.036689281E0
4.150924778E0,1.101332754E-1,9.940725327E0,1.010353088E0
4.166946278E0,9.097966552E-2,1.001973438E1,9.935936928E-1
4.182967776E0,-3.830722719E-2,9.892841339E0,9.528923035E-1
4.199019792E0,-6.224924326E-2,9.749189377E0,9.744400978E-1
4.215041292E0,7.182605099E-3,9.713275909E0,1.051054597E0
4.231062790E0,2.394201607E-2,9.811438560E0,1.043871999E0
4.247084290E0,5.506663769E-2,9.871294022E0,9.624691010E-1
4.263136306E0,6.224924326E-2,9.880870819E0,9.672574997E-1
4.279157805E0,9.576806799E-3,9.809044838E0,9.935936928E-1
4.295179304E0,-8.379705995E-2,9.691728592E0,1.046266198E0
4.311200803E0,-5.267243832E-2,9.720458984E0,1.046266198E0
4.327252819E0,-2.394201700E-3,9.818621635E0,1.017535686E0
4.343274319E0,3.112462163E-2,9.892841339E0,9.696516991E-1
4.359295817E0,-1.675941236E-2,9.883264542E0,9.552865028E-1
4.375317317E0,-6.943184882E-2,9.761159897E0,9.385270476E-1
4.391338815E0,-9.097966552E-2,9.686940193E0,9.552865028E-1
4.407360315E0,-8.140286058E-2,9.746794701E0,9.959878922E-1
4.423381813E0,-6.464344263E-2,9.811438560E0,1.017535686E0
4.439433830E0,-5.506663769E-2,9.825803757E0,1.036689281E0
4.455455329E0,-3.830722719E-2,9.801861763E0,1.046266198E0
4.471476829E0,-7.422025502E-2,9.797073364E0,1.043871999E0
4.487498327E0,-6.464344263E-2,9.821015358E0,1.031900883E0
4.503550343E0,-1.915361360E-2,9.880870819E0,1.027112484E0
4.519571843E0,3.591302410E-2,9.859322548E0,1.051054597E0
4.535593341E0,5.746084079E-2,9.806650162E0,1.077390790E0
4.551614841E0,1.029506698E-1,9.777919769E0,1.094150186E0
4.567636340E0,1.484405100E-1,9.806650162E0,1.103726983E0
4.583657839E0,1.795651317E-1,9.797073364E0,1.048660398E0
4.599679338E0,1.843535304E-1,9.825803757E0,1.029506683E0
4.615700837E0,8.140286058E-2,9.885659218E0,1.036689281E0
4.631722336E0,2.873042040E-2,9.873687744E0,1.024718285E0
4.647743835E0,1.077390760E-1,9.825803757E0,9.624691010E-1
4.663765334E0,1.580173075E-1,9.842563629E0,9.097966552E-1
4.679817350E0,1.292868853E-1,9.854534149E0,9.552865028E-1
4.695838850E0,1.101332754E-1,9.880870819E0,9.768342972E-1
4.711860349E0,5.506663769E-2,9.892841339E0,1.003170490E0
4.727881848E0,2.394201607E-2,9.859322548E0,9.983820915E-1
4.743903347E0,2.394201700E-3,9.773131371E0,9.888052940E-1
4.759924846E0,-6.464344263E-2,9.782708168E0,1.015141487E0
4.775946345E0,-1.244984865E-1,9.825803757E0,1.027112484E0
4.791967844E0,-1.628057212E-1,9.885659218E0,1.000776291E0
4.807989344E0,-1.077390760E-1,9.902418137E0,9.864110947E-1
4.824041360E0,-1.005564705E-1,9.885659218E0,9.744400978E-1
4.840062858E0,-1.316810995E-1,9.907206535E0,1.029506683E0
4.856084358E0,-1.436520964E-1,9.923966408E0,1.091755986E0
4.872105856E0,-1.029506698E-1,9.880870819E0,1.072602391E0
4.888127356E0,-5.506663769E-2,9.871294022E0,1.118092179E0
4.904148855E0,2.154781483E-2,9.892841339E0,1.130063176E0
4.920170354E0,1.436521020E-2,9.844957352E0,1.137245774E0
4.936222370E0,1.197100803E-2,9.777919769E0,1.082179189E0
4.952243869E0,3.112462163E-2,9.744400978E0,1.077390790E0
4.968265368E0,2.873042040E-2,9.830592155E0,1.170764685E0
4.984286867E0,6.703764945E-2,9.849745750E0,1.199495077E0
5.000338884E0,8.619125932E-2,9.785101891E0,1.165976286E0
5.016360383E0,1.268926859E-1,9.722852707E0,1.161187768E0
5.032381882E0,1.077390760E-1,9.643844604E0,1.161187768E0
5.048403381E0,1.197100878E-1,9.586383820E0,1.161187768E0
5.064424880E0,1.101332754E-1,9.610325813E0,1.173158884E0
5.080476896E0,4.309562966E-2,9.674968719E0,1.194706678E0
5.096498395E0,-2.154781483E-2,9.701305389E0,1.175553083E0
5.112519895E0,-3.351882473E-2,9.753977776E0,1.158793569E0
5.128541393E0,2.394201700E-3,9.813833237E0,1.144428372E0
5.144562893E0,9.576806426E-2,9.859322548E0,1.151610970E0
5.160584391E0,1.819593310E-1,9.878476143E0,1.139639974E0
