BioWare 3.0 Export
Device:	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA
Samples (#):	3107	3107	3107	3107
Rate (Hz):	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	3106	3106	3106	3106
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	15.530000	15.530000	15.530000	15.530000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	692.799622	692.799622	692.799622	692.799622
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft
	N	N	N	N
0.730000	-2.243978	0.469093	567.973030	567.977657
0.735000	-1.659184	0.894391	570.625519	570.628632
0.740000	-1.700037	0.662074	570.026787	570.029706
0.745000	-1.737911	0.623148	570.368813	570.371801
0.750000	-1.192481	1.281177	573.022682	573.025355
0.755000	-1.581649	1.086959	571.224686	571.227910
0.760000	-2.165548	0.584222	569.085426	569.089846
0.765000	-1.854512	1.048033	571.309593	571.313564
0.770000	-1.425982	1.125472	571.908592	571.911477
0.775000	-1.659780	0.662074	570.027214	570.030015
0.780000	-1.308785	0.932081	572.336319	572.338574
0.785000	-0.958683	1.126298	573.450394	573.452301
0.790000	-1.581649	0.430580	569.168518	569.170879
0.795000	-1.464154	-0.034057	568.998825	569.000710
0.800000	-1.737315	-0.381914	567.287933	567.290722
0.805000	-1.308487	-0.343815	568.742172	568.743781
0.810000	-1.504113	-0.846140	566.346581	566.349210
0.815000	-1.347851	-0.690847	567.630287	567.632308
0.820000	-1.309381	-1.193586	566.432953	566.435724
0.825000	-1.270315	-1.310364	566.005447	566.008390
0.830000	-1.192481	-1.309539	566.175354	566.178124
0.835000	-1.504113	-1.929055	563.008400	563.013714
0.840000	-1.037111	-1.309539	565.576241	565.578707
0.845000	-0.960469	-1.813103	564.291275	564.295005
0.850000	-0.649136	-1.618885	565.318298	565.320989
0.855000	-0.492873	-1.656573	564.892151	564.894795
0.860000	-1.155202	-2.508819	561.638298	561.645089
0.865000	-1.310868	-2.238813	561.381920	561.387915
0.870000	-0.610964	-1.929468	563.005760	563.009398
0.875000	-0.376867	-1.736076	564.974472	564.977265
0.880000	0.361210	-1.194823	566.769997	566.771371
0.885000	-0.300225	-1.659875	564.287773	564.290294
0.890000	-0.339291	-1.351354	565.483749	565.485466
0.895000	-0.767524	-0.925643	564.798523	564.799803
0.900000	-0.222690	-0.072983	568.307449	568.307498
0.905000	-0.456488	-0.113146	567.025742	567.025937
0.910000	-1.078857	-0.808864	564.288765	564.290376
0.915000	-0.923489	-0.577784	565.657257	565.658306
0.920000	-0.612453	-0.151248	568.738983	568.739333
0.925000	-1.701227	-0.771175	564.204552	564.207644
0.930000	-1.818721	-0.809278	564.035141	564.038654
0.935000	-1.117923	-0.151248	567.886642	567.887763
0.940000	-1.974388	-1.118622	564.378426	564.382988
0.945000	-1.974091	-0.964156	564.294144	564.298420
0.950000	-1.740590	-0.886716	565.235870	565.239246
0.955000	-1.935024	-1.235813	564.550903	564.555572
0.960000	-0.962256	-0.654398	568.572487	568.573678
0.965000	-1.624584	-1.312015	564.381020	564.384883
0.970000	-1.351126	-1.080109	566.092125	566.094768
0.975000	-1.818721	-1.428380	563.869171	563.873913
0.980000	-1.624287	-0.847791	565.239273	565.242243
0.985000	-1.935620	-0.770764	565.325531	565.329370
0.990000	-1.546751	0.235537	567.805305	567.807461
0.995000	-2.402621	-0.036533	566.437050	566.442147
1.000000	-2.364746	0.272814	567.122505	567.127501
1.005000	-2.675187	0.505131	567.378250	567.384782
1.010000	-1.974686	1.278702	570.460571	570.465422
1.015000	-2.519818	1.200850	569.349884	569.356726
1.020000	-2.636419	1.123410	568.664864	568.672085
1.025000	-2.325086	1.394653	570.463150	570.469593
1.030000	-2.597354	1.240189	568.494324	568.501610
1.035000	-2.092180	1.395066	570.806641	570.812180
1.040000	-3.181551	0.736625	566.955284	566.964689
1.045000	-1.975579	1.588460	571.919525	571.925143
1.050000	-1.780549	1.743752	573.033234	573.038653
1.055000	-2.597950	0.969769	569.012535	569.019292
1.060000	-3.142486	0.505957	566.531708	566.540649
1.065000	-2.480157	1.009108	569.956055	569.962344
1.070000	-2.909581	0.467856	567.303993	567.311647
1.075000	-2.753319	0.623148	567.645409	567.652428
1.080000	-2.247848	1.126711	570.385063	570.390605
1.085000	-2.403514	1.320103	570.727631	570.734218
1.090000	-2.403514	1.590110	571.070755	571.078027
1.095000	-3.299344	1.009108	566.876999	566.887498
1.100000	-3.454415	1.008695	567.306107	567.317520
1.105000	-3.571910	1.125472	566.708107	566.720481
1.110000	-3.181551	1.589697	568.675262	568.686384
1.115000	-3.454713	1.434818	568.677422	568.689725
1.120000	-3.221808	1.782678	569.362892	569.374798
1.125000	-3.532546	1.667136	567.480919	567.494363
1.130000	-3.571910	2.014996	568.337639	568.352435
1.135000	-3.882052	2.053922	567.995987	568.012966
1.140000	-3.882648	2.132187	568.595306	568.612560
1.145000	-3.571611	2.402607	569.537071	569.553338
1.150000	-3.921713	1.783091	567.057381	567.073745
1.155000	-4.116148	1.512671	565.772995	565.789990
1.160000	-4.038612	1.707301	565.944366	565.961351
1.165000	-4.155511	1.590110	565.859337	565.876829
1.170000	-4.816947	1.435644	564.234062	564.256450
1.175000	-3.961077	1.823667	567.058105	567.074872
1.180000	-4.428077	1.551597	565.091232	565.110711
1.185000	-3.532248	2.443182	569.798126	569.814312
1.190000	-3.921713	2.288303	568.512642	568.530773
