"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.816958718E0,-9.290133715E-1,9.690333366E0,1.107876897E0
3.833625384E0,-9.182456732E-1,9.685547829E0,1.002592683E0
3.850292050E0,-9.996016622E-1,9.652048111E0,9.637092948E-1
3.866958716E0,-1.120439172E0,9.718449593E0,9.912267923E-1
3.883625382E0,-1.206580877E0,9.751350403E0,9.571290612E-1
3.900292048E0,-1.273579836E0,9.665208817E0,9.326026440E-1
3.916958714E0,-1.322034478E0,9.612566948E0,9.326026440E-1
3.933625380E0,-1.369890928E0,9.664610863E0,9.272187948E-1
3.950292046E0,-1.355534077E0,9.693324089E0,9.032905698E-1
3.966958712E0,-1.278365493E0,9.631709099E0,9.230313301E-1
3.983625378E0,-1.268195987E0,9.550353050E0,8.997012973E-1
4.000292044E0,-1.182054400E0,9.636494637E0,9.290133715E-1
4.016958710E0,-1.091127157E0,9.713663101E0,9.343972206E-1
4.033625376E0,-1.067198873E0,9.723235130E0,9.343972206E-1
4.050292042E0,-1.076770186E0,9.747162819E0,9.631111026E-1
4.066958708E0,-9.762716293E-1,9.742975235E0,1.011565804E0
4.083625374E0,-9.134600163E-1,9.551549911E0,1.007378340E0
4.100292040E0,-9.619147182E-1,9.570692062E0,1.088136077E0
4.116958706E0,-1.005583763E0,9.642477036E0,1.083350420E0
4.133625372E0,-1.130608678E0,9.747162819E0,1.019940615E0
4.150292038E0,-1.217348576E0,9.784850121E0,1.033699393E0
4.166958704E0,-1.140179992E0,9.784850121E0,9.960124493E-1
4.183625370E0,-1.153938770E0,9.661021233E0,9.960124493E-1
4.200292036E0,-1.298106313E0,9.588638306E0,1.018744230E0
4.216958702E0,-1.375274777E0,9.588638306E0,1.018146038E0
4.233625368E0,-1.461416483E0,9.621540070E0,9.744769931E-1
4.250292034E0,-1.471585870E0,9.659825325E0,1.007378340E0
4.266958700E0,-1.490728498E0,9.592825890E0,9.978070259E-1
4.283625366E0,-1.528415442E0,9.583254814E0,9.499505758E-1
4.300292032E0,-1.494915962E0,9.616754532E0,9.499505758E-1
4.316958698E0,-1.470389485E0,9.659226418E0,8.691928387E-1
4.333625364E0,-1.537986755E0,9.673583984E0,9.212366939E-1
4.350292030E0,-1.524227977E0,9.631111145E0,9.738788009E-1
4.366958696E0,-1.369890928E0,9.564710617E0,9.750752449E-1
4.383625362E0,-1.273579836E0,9.583852768E0,9.613165259E-1
4.400292028E0,-1.091127157E0,9.708877563E0,9.678967595E-1
4.416958694E0,-1.019342422E0,9.795019150E0,9.349954724E-1
4.433625360E0,-1.037886858E0,9.784850121E0,8.871390224E-1
4.450292026E0,-1.081555843E0,9.689735413E0,9.439685345E-1
4.466958692E0,-1.076770186E0,9.598808289E0,9.822536707E-1
