"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.092053860E-1,2.561798096E0,1.258392334E1,-2.729385376E0,1.312887964E1
5.142407870E-1,2.791641235E0,1.274194336E1,-3.074157715E0,1.340152331E1
5.192761870E-1,2.983169556E0,1.292869568E1,-3.423706055E0,1.370300097E1
5.242810700E-1,3.117248535E0,1.311064148E1,-3.749313354E0,1.398797730E1
5.293164700E-1,3.083724976E0,1.327345276E1,-4.050994873E0,1.421634508E1
5.343518710E-1,2.997543335E0,1.345062256E1,-4.271255493E0,1.442733991E1
5.393872710E-1,2.743759155E0,1.357511902E1,-4.343078613E0,1.451462719E1
5.443921540E-1,2.437301636E0,1.360385132E1,-4.333511353E0,1.448394044E1
5.494275540E-1,2.097320557E0,1.358470154E1,-4.252105713E0,1.438830332E1
5.544629550E-1,1.680725098E0,1.344105530E1,-4.108444214E0,1.415507394E1
5.594678380E-1,1.302444458E0,1.320162964E1,-3.979156494E0,1.384965967E1
5.645032380E-1,8.762817383E-1,1.285685730E1,-3.916915894E0,1.346881136E1
5.695386380E-1,5.363006592E-1,1.240675354E1,-3.897766113E0,1.301567257E1
5.745740390E-1,2.346343994E-1,1.191833496E1,-3.945648193E0,1.255666760E1
5.795789220E-1,-3.831481934E-2,1.138203430E1,-3.979156494E0,1.205760587E1
5.846143220E-1,-2.825164795E-1,1.083137512E1,-3.998321533E0,1.154924576E1
5.896497220E-1,-5.075683594E-1,1.028549194E1,-3.955215454E0,1.103144140E1
5.946851230E-1,-7.613525391E-1,9.730041504E0,-3.916915894E0,1.051644405E1
5.996900060E-1,-1.000778198E0,9.169799805E0,-3.835510254E0,9.989891109E0
6.047254060E-1,-1.201889038E0,8.623916626E0,-3.711013794E0,9.465098975E0
6.097608060E-1,-1.364700317E0,8.087615967E0,-3.567367554E0,8.944162915E0
6.147656890E-1,-1.541870117E0,7.541732788E0,-3.409347534E0,8.418951687E0
